UYEISYERI_ID_MASK,label
27447336,0
27447758,0
27447767,0
27447983,1
27448075,1
27448097,0
27448414,0
27449916,0
27451432,1
27452884,0
27454697,0
27455245,0
27455791,0
27455909,0
27456801,1
27457515,0
27458742,0
27460503,1
27460661,0
27460989,1
27462199,0
27462954,0
27462956,1
27463768,1
27466285,0
27467265,0
27467625,1
27470944,1
27470945,1
27471367,1
27471368,1
27471370,0
27471371,1
27472085,1
27472247,0
27472871,1
27474388,0
27474390,0
27480774,0
27480835,0
27481516,0
27482156,1
27482158,0
27482276,1
27482520,1
27482643,0
27485896,1
27486154,1
27486963,0
27488798,0
27489179,1
27490977,1
27492378,0
27492384,1
27492396,1
27492401,0
27493291,1
27493957,0
27495842,0
27495910,1
27497097,0
27497280,0
27500565,0
27501177,1
27501709,1
27501711,1
27501718,1
27501720,0
27501728,0
27501732,1
27501734,1
27501735,1
27501739,1
27501740,0
27501749,1
27501751,0
27501752,1
27501865,0
27501905,0
27501912,0
27501917,1
27501918,0
27501925,1
27501928,1
27501934,0
27501937,0
27501938,1
27501939,1
27501940,0
27501943,0
27501947,1
27501948,0
27501952,0
27501959,1
27501964,0
27501968,0
27501974,0
27501984,0
27501991,0
27501993,0
27501994,1
27501995,1
27501999,0
27502000,0
27502003,1
27502221,1
27503901,1
27505314,0
27505371,1
27505903,0
27508046,1
27509437,0
27510633,0
27510634,0
27510887,1
27511223,1
27511224,1
27511550,1
27512859,1
27512865,1
27513543,0
27516468,0
27518549,0
27518791,0
27519085,0
27520047,1
27520381,0
27520559,1
27520562,1
27520570,0
27521599,1
27521640,1
27522292,1
27524945,0
27525464,1
27525710,1
27525711,0
27525930,0
27525932,0
27526837,0
27526859,1
27528559,1
27528594,0
27531011,0
27531696,0
27533108,1
27533111,0
27533113,1
27533114,1
27533119,0
27533124,1
27534961,0
27535134,1
27535651,0
27537295,0
27537297,1
27537300,0
27537302,1
27537303,1
27537305,1
27537307,0
27537308,1
27537310,1
27537311,1
27538326,1
27538546,1
27539331,0
27539453,1
27539461,0
27539494,0
27543690,0
27544529,0
27545982,0
27550105,0
27550108,0
27551572,0
27551757,0
27552034,0
27552254,0
27552479,1
27552480,0
27552481,1
27554085,0
27555167,0
27555998,1
27557769,1
27557965,0
27558265,0
27558393,0
27559355,1
27560993,1
27561024,0
27561061,0
27562066,0
27562421,1
27562422,1
27563069,0
27564848,1
27565953,1
27566122,1
27571607,0
27572003,0
27572009,0
27572462,0
27574273,0
27574725,1
27578077,1
27578079,1
27580331,1
27582953,1
27583048,0
27584170,1
27584171,0
27586172,0
27589796,0
27590514,1
27592471,0
27592472,0
27595405,0
27595567,0
27598973,1
27601753,0
27603518,1
27603520,1
27605193,1
27605356,1
27610626,0
27610836,1
27613011,1
27613012,0
27615047,1
27615793,0
27615794,0
27615796,0
27615800,0
27615802,0
27615804,0
27615931,1
27619013,0
27619690,0
27620345,0
27622457,0
27622805,0
27623697,0
27623850,0
27623883,0
27624506,1
27625611,1
27628262,1
27629364,1
27629747,0
27629749,0
27630211,1
27630455,1
27631549,1
27632179,0
27633494,1
27634044,0
27634538,0
27634834,0
27634880,0
27636281,0
27636312,1
27636990,0
27637822,0
27637842,1
27638066,0
27638392,0
27639519,0
27641628,0
27641631,0
27646263,1
27646721,0
27647243,0
27647936,1
27649528,0
27649743,1
27650616,1
27650617,0
27652194,1
27652365,0
27653324,0
27653808,1
27655856,0
27657169,0
27657307,1
27657490,0
27657553,1
27658550,0
27660892,0
27661853,0
27662322,0
27663158,0
27663299,0
27664910,1
27665015,1
27666410,0
27667829,1
27669589,1
27671279,0
27671287,0
27671912,0
27673989,0
27674316,0
27674977,1
27676228,0
27676719,0
27677152,0
27677187,1
27679204,0
27680755,0
27681732,1
27681956,0
27682666,0
27683014,0
27683761,1
27683865,0
27684270,0
27685150,1
27685381,0
27685467,1
27685470,1
27685480,0
27685492,1
27685503,1
27685508,0
27685514,0
27685522,0
27685528,0
27685537,0
27685695,0
27685697,0
27685882,1
27686076,1
27686258,1
27686304,0
27686311,0
27686600,0
27686909,0
27687662,1
27687775,0
27688138,0
27688726,0
27690038,0
27690437,1
27690673,1
27690954,0
27692198,0
27692436,1
27692440,1
27692441,0
27692479,1
27692671,0
27692672,0
27694531,0
27694686,1
27695042,0
27696939,0
27697174,0
27698432,0
27702198,0
27703262,0
27703331,0
27703348,0
27703381,0
27703493,1
27703539,1
27703555,1
27703557,0
27703599,1
27705284,0
27707124,1
27707158,0
27707977,0
27709355,0
27711953,1
27713103,0
27713879,0
27714799,0
27714800,1
27717725,0
27721895,0
27721999,0
27723228,0
27723424,0
27723632,1
27724640,0
27724642,1
27725089,0
27726136,0
27726204,0
27726471,1
27727299,0
27727976,1
27727980,1
27728035,1
27729240,1
27729446,1
27729881,0
27730675,1
27731574,0
27731829,0
27732213,1
27732282,0
27732292,0
27732519,1
27732524,0
27732530,0
27732531,1
27732598,0
27732717,0
27732857,0
27733667,0
27733727,0
27733915,0
27733977,0
27733994,0
27734027,0
27734550,0
27734602,0
27738680,1
27738688,1
27738698,1
27738717,1
27738898,0
27738901,1
27738916,1
27738917,0
27738920,1
27738921,0
27738930,0
27738942,0
27738945,0
27738976,0
27738983,0
27739060,0
27742527,0
27743387,0
27743411,0
27745064,1
27746016,1
27746095,0
27748784,0
27748811,0
27749417,1
27749470,1
27752596,1
27753407,1
27753537,0
27753538,0
27755194,0
27755217,0
27755229,0
27755562,1
27755636,0
27755675,1
27756920,0
27757454,0
27757547,1
27757746,0
27760701,0
27760718,1
27764253,0
27764308,0
27768559,0
27768560,0
27768878,0
27768901,0
27768991,0
27769221,0
27769299,0
27769411,1
27769457,0
27769691,0
27769782,0
27769793,0
27771445,1
27813498,0
27816476,0
27816570,0
27839509,0
37789758,0
37966781,0
37966787,0
37966788,0
37966797,1
37966798,0
37966814,0
38871542,0
38961414,0
38961653,1
40431479,1
41688508,0
41947547,1
47303498,0
47866514,1
47886329,0
47886331,0
47913342,1
48044564,0
48122512,1
48177564,1
48177574,0
48208491,1
48208551,0
48232334,1
48232380,1
48232381,0
48232382,1
48232383,0
48232386,1
48269416,0
48345545,0
48365337,0
48365613,0
48461566,1
48503555,1
48584548,0
48747329,1
56320432,1
56366361,1
56443400,1
56578354,1
56664507,0
56734461,0
56879533,1
56907379,1
56978453,1
56978564,0
56978693,0
56978887,1
56978960,0
56979003,0
56979038,0
56979046,0
56979120,0
56979130,0
57018378,1
57172464,0
57329553,1
57636485,1
58063518,0
58113372,0
58345587,0
58485367,1
58638344,0
58706340,0
58760365,0
58932437,0
58932515,0
58955483,0
59054524,1
59094468,1
59203400,1
59203420,1
59240338,1
59240548,1
59321456,1
59356389,0
59452350,0
59482505,0
59482506,1
59635469,1
59793564,0
59827528,0
59902372,0
59932435,0
59932447,1
60060384,0
60126409,0
60157532,1
60187571,0
60327474,0
60492496,1
60492497,1
60492499,1
60492501,0
60492502,1
60492523,0
60492524,0
60550465,0
60601524,1
60680349,0
60718398,0
60718408,0
60915343,1
60943539,0
61094344,1
61193557,0
61193558,0
61226523,0
61413458,1
61413537,0
61451342,1
61451344,0
61451378,1
61451390,1
61489465,1
61537439,0
61818421,0
62022445,0
62022458,1
62225530,0
62255471,1
62255483,0
62289337,0
62384415,0
62442415,0
62474608,0
62474609,1
62474610,0
62474611,1
62474612,1
62474617,0
62474618,1
62474619,1
62474621,0
62474622,1
62474623,0
62474625,1
62474626,0
62474627,1
62474629,1
62474630,1
62474631,0
62474632,0
62474633,0
62474634,1
62474635,1
62474636,0
62474638,1
62474639,0
62474640,0
62474641,1
62474642,1
62474646,0
62474648,0
62474649,0
62474650,1
62474651,1
62474652,1
62474653,1
62474654,1
62474824,0
